word,shosai_wadaipot.txt,youkyu_wadaipot.txt,youkyu_wadaipot.txt-shosai_wadaipot.txt
観点,2,33,31
要求,50,77,27
検証,0,26,26
理由,0,23,23
方針,5,23,18
スコープ,1,18,17
仕様,12,29,17
関心事,1,17,16
嗜好,0,16,16
説明,0,15,15
対象,5,18,13
実装,2,14,12
ユーザ,3,15,12
通り,0,12,12
マップ,0,11,11
分析,5,14,9
動作,12,21,9
一覧,1,9,8
よう,3,11,8
優先,0,7,7
掃除,0,7,7
とき,0,6,6
順位,0,6,6
開発,1,7,6
簡単,0,6,6
防止,0,6,6
もの,1,6,5
形態,0,5,5
シーン,0,5,5
フレーム,0,5,5
製品,2,7,5
口コミ,0,5,5
液体,0,4,4
好き,0,4,4
テスト,203,207,4
検討,2,6,4
利用,1,5,4
供給,0,4,4
ため,32,36,4
傾き,0,4,4
音声,0,4,4
赤ちゃん,0,4,4
家族,0,4,4
ベース,1,5,4
漏電,0,4,4
停電,0,4,4
)、,0,4,4
範囲,0,4,4
ユース,0,3,3
ペット,0,3,3
位置づけ,3,6,3
デザイン,0,3,3
JaSST,0,3,3
違い,1,4,3
話題,1,4,3
概念,0,3,3
掛け,0,3,3
成果,2,5,3
以上,2,5,3
暗黙,0,3,3
除去,0,3,3
制約,0,3,3
Tokyo,0,3,3
参考,2,5,3
可能,1,4,3
整理,0,3,3
補充,0,3,3
備考,0,3,3
どこ,0,3,3
変動,3,6,3
ミス,0,3,3
一般,0,3,3
文献,2,4,2
策定,0,2,2
中心,0,2,2
老人,0,2,2
アラーム,0,2,2
クエン,0,2,2
アーキテクチャ,9,11,2
ハンディキャップ,0,2,2
地震,0,2,2
シーズン,0,2,2
ケース,1,3,2
形式,0,2,2
電気,0,2,2
上記,0,2,2
Howuse,0,2,2
海水,0,2,2
たま,0,2,2
その他,0,2,2
規定,0,2,2
自然,0,2,2
少量,0,2,2
テストマスタドキュメント,1,3,2
車中,0,2,2
価格,0,2,2
影響,0,2,2
学校,0,2,2
会社,0,2,2
Howlong,0,2,2
暮らし,0,2,2
健康,0,2,2
実施,4,6,2
バッテリー,0,2,2
他社,0,2,2
工程,0,2,2
いつ,0,2,2
単純,0,2,2
Howmuch,0,2,2
山小屋,0,2,2
アクティビティ,1,3,2
家庭,0,2,2
レスポンス,0,2,2
病気,0,2,2
やつ,0,2,2
視覚,0,2,2
発電,0,2,2
空間,0,2,2
不具合,0,2,2
cofc,0,2,2
who,0,2,2
what,0,2,2
why,0,2,2
自宅,0,2,2
関東,0,2,2
考え方,0,2,2
安全,11,13,2
聴覚,0,2,2
ヘビー,0,2,2
大雨,0,2,2
大雪,0,2,2
性質,0,2,2
容量,0,2,2
where,0,2,2
寝たきり,0,2,2
一人暮らし,0,2,2
頻度,0,2,2
携帯,0,2,2
構造,0,2,2
パフォーマンス,7,9,2
夜中,0,2,2
エコ,0,2,2
復旧,0,2,2
whom,0,2,2
補足,0,2,2
Howspec,0,2,2
セッション,0,2,2
白湯,0,2,2
立ち,0,2,2
非常時,0,2,2
残り,0,2,2
関西,0,2,2
期間,0,2,2
下位,0,2,2
以外,0,2,2
コンビニ,0,2,2
洪水,0,2,2
レイヤー,0,2,2
早朝,0,2,2
成人,0,2,2
乾燥,0,2,2
炭酸,0,2,2
電池,0,2,2
属性,0,2,2
家事,0,2,2
自分,0,2,2
定義,0,2,2
品質,0,2,2
すえ付け,0,2,2
方法,0,2,2
or,0,2,2
勝手,0,2,2
改造,0,2,2
フィードバック,0,2,2
わかりやすさ,0,2,2
異常,0,2,2
when,0,2,2
コーヒー,0,2,2
海外,0,2,2
言語,0,2,2
段階,0,1,1
判定,0,1,1
取り外し,0,1,1
赤道,0,1,1
安価,0,1,1
硬水,1,2,1
クロージングパネル,0,1,1
拠り所,0,1,1
空電,0,1,1
マインド,0,1,1
流れ,0,1,1
宇宙,0,1,1
好み,0,1,1
ブラックボックス,0,1,1
1015,1,2,1
FTA,0,1,1
ロックーロック,0,1,1
はく,0,1,1
スーパー,0,1,1
位置,1,2,1
外部,0,1,1
ファミレス,0,1,1
北極,0,1,1
形状,0,1,1
店員,0,1,1
南極,0,1,1
妥当,0,1,1
インプット,0,1,1
VSTeP,0,1,1
無線,0,1,1
予想,0,1,1
マネジメント,0,1,1
左利き,0,1,1
正月,0,1,1
女性,0,1,1
たくさん,1,2,1
康晴,0,1,1
大丈夫,0,1,1
限定,0,1,1
29,0,1,1
日本人,0,1,1
用語,0,1,1
GOMA,0,1,1
FMEA,0,1,1
一連,0,1,1
軟水,1,2,1
意味,0,1,1
問屋,0,1,1
子供,1,2,1
出所,0,1,1
サーミスタ,1,2,1
秋山,1,2,1
表示,21,22,1
高価,0,1,1
テストスコープ,0,1,1
ASTER,0,1,1
HAYST,0,1,1
営業,0,1,1
屋外,0,1,1
矛盾,0,1,1
浄化,0,1,1
色弱,0,1,1
解説,0,1,1
導出,0,1,1
男性,0,1,1
存在,0,1,1
レトルト,0,1,1
含有,0,1,1
海上,0,1,1
概要,0,1,1
運送,0,1,1
眼鏡,0,1,1
メン,0,1,1
レベル,0,1,1
様々,0,1,1
アルコール,0,1,1
地域,0,1,1
熱燗,0,1,1
逸脱,0,1,1
お絞り,0,1,1
配布,0,1,1
加湿,0,1,1
横断,0,1,1
09,0,1,1
足場,0,1,1
（⇒,0,1,1
使い方,0,1,1
水槽,0,1,1
資料,0,1,1
部品,0,1,1
モノ,0,1,1
国内,0,1,1
海底,0,1,1
以降,1,2,1
全体,2,3,1
特徴,0,1,1
貯蔵,1,2,1
適用,0,1,1
中身,0,1,1
放置,0,1,1
ポンプ,4,5,1
ポットユーザシーン,0,1,1
ページ,0,1,1
智美,0,1,1
修正,0,1,1
鈴木,0,1,1
ユニバーサル,0,1,1
関心,0,1,1
初心者,1,2,1
つまり,0,1,1
問題,0,1,1
順序,0,1,1
マニュアル,0,1,1
外国,0,1,1
言及,0,1,1
三紀,0,1,1
そば,0,1,1
抗菌,0,1,1
車いす,0,1,1
実現,0,1,1
松葉杖,0,1,1
山の上,0,1,1
お盆,0,1,1
ロッククレーマー,0,1,1
冗長,0,1,1
たたき台,0,1,1
同一,0,1,1
コンシューマ,0,1,1
度数,0,1,1
線引き,0,1,1
着目,0,1,1
わけ,0,1,1
合否,0,1,1
程度,3,4,1
浩一,1,2,1
例外,0,1,1
味噌汁,0,1,1
故意,0,1,1
作用,0,1,1
ロックランプカルキ,0,1,1
早期,0,1,1
きれい,0,1,1
クレーマー,0,1,1
過程,0,1,1
提示,0,1,1
併記,0,1,1
工数,0,1,1
野外,0,1,1
材質,0,1,1
未定義,0,1,1
重要,0,1,1
短気,0,1,1
オンライン,0,1,1
テストスコープテスト,1,2,1
小道具,0,1,1
ミネラル,0,1,1
スープ,0,1,1
拡張,0,1,1
インスタント,0,1,1
カレー,0,1,1
スペック,0,1,1
お客,0,1,1
ラーメン,0,1,1
カップ,0,1,1
持ち運び,0,1,1
気長,0,1,1
明示,0,1,1
それ,2,3,1
ドラマ,0,1,1
明確,0,1,1
風邪,0,1,1
火災,0,1,1
熱源,0,1,1
丈夫,0,1,1
飛行機,0,1,1
関連,2,3,1
サイズ,0,1,1
有線,0,1,1
